BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
197605,29,1530,197605,29,1530,,9986350,COLORADO,8,1976,May,Tornado,C,123,WELD,,5/29/76 15:30,CST,5/29/76 15:30,0,0,0,0,0K,0,,0,,,,F0,0,33,,,,,0,,,0,,,40.58,-104.53,,,,,PUB
197605,29,1545,197605,29,1545,,9986351,COLORADO,8,1976,May,Tornado,C,123,WELD,,5/29/76 15:45,CST,5/29/76 15:45,0,0,0,0,0K,0,,0,,,,F0,0,33,,,,,0,,,0,,,40.62,-104,,,,,PUB
197605,29,1600,197605,29,1600,,9986352,COLORADO,8,1976,May,Tornado,C,75,LOGAN,,5/29/76 16:00,CST,5/29/76 16:00,0,0,0,0,0K,0,,0,,,,F0,0,33,,,,,0,,,0,,,40.63,-103.7,,,,,PUB
197605,29,1617,197605,29,1617,,9986353,COLORADO,8,1976,May,Tornado,C,123,WELD,,5/29/76 16:17,CST,5/29/76 16:17,0,0,0,0,0K,0,,0,,,,F0,0.1,20,,,,,0,,,0,,,40.63,-104.32,,,,,PUB
197605,29,1620,197605,29,1620,,9986354,COLORADO,8,1976,May,Tornado,C,99,PROWERS,,5/29/76 16:20,CST,5/29/76 16:20,0,0,0,0,0K,0,,0,,,,F0,0.1,20,,,,,0,,,0,,,38.27,-102.08,,,,,PUB
197605,29,1620,197605,29,1620,,9986355,COLORADO,8,1976,May,Tornado,C,61,KIOWA,,5/29/76 16:20,CST,5/29/76 16:20,0,0,0,0,0K,0,,0,,,,F0,0,33,,,,,0,,,0,,,38.35,-102.08,,,,,PUB
197605,29,1630,197605,29,1630,,9986356,COLORADO,8,1976,May,Tornado,C,75,LOGAN,,5/29/76 16:30,CST,5/29/76 16:30,0,0,0,0,0K,0,,0,,,,F0,0,33,,,,,0,,,0,,,40.63,-103.45,,,,,PUB
197605,30,1340,197605,30,1340,,9986357,COLORADO,8,1976,May,Tornado,C,1,ADAMS,,5/30/76 13:40,CST,5/30/76 13:40,0,0,0,0,250K,0,,0,,,,F2,5.4,67,,,,,0,,,0,,,39.8,-104.88,39.83,-104.78,,,PUB
197606,4,1530,197606,4,1530,,9986358,COLORADO,8,1976,June,Tornado,C,123,WELD,,6/4/76 15:30,CST,6/4/76 15:30,0,0,0,0,0K,0,,0,,,,F1,0.5,150,,,,,0,,,0,,,40.2,-104.82,,,,,PUB
197606,4,1530,197606,4,1530,,9986359,COLORADO,8,1976,June,Tornado,C,123,WELD,,6/4/76 15:30,CST,6/4/76 15:30,0,0,0,0,0K,0,,0,,,,F1,0.5,150,,,,,0,,,0,,,40.17,-104.9,,,,,PUB
