BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
197308,10,2128,197308,10,2128,,10066018,NEBRASKA,31,1973,August,Thunderstorm Wind,C,45,DAWES,,8/10/73 21:28,CST,8/10/73 21:28,0,0,0,0,0,0,,50,,,,,0,0,,,,,0,,,0,,,42.83,-103.08,,,,,PUB
197312,4,610,197312,4,610,,10060714,MISSOURI,29,1973,December,Thunderstorm Wind,C,51,COLE,,12/4/73 06:10,CST,12/4/73 06:10,0,0,0,0,0,0,,0,,,,,0,0,,,,,0,,,0,,,38.58,-92.18,,,,,PUB
197305,26,1515,197305,26,1515,,10069198,NEBRASKA,31,1973,May,Tornado,C,185,YORK,,5/26/73 15:15,CST,5/26/73 15:15,0,0,0,0,0K,0,,0,,,,F0,0,33,,,,,0,,,0,,,40.8,-97.7,,,,,PUB
197307,3,2200,197307,3,2200,,10065970,NEBRASKA,31,1973,July,Thunderstorm Wind,C,55,DOUGLAS,,7/3/73 22:00,CST,7/3/73 22:00,0,0,0,0,0,0,,0,,,,,0,0,,,,,0,,,0,,,41.2,-96,,,,,PUB
197304,20,1615,197304,20,1615,,10058162,MISSOURI,29,1973,April,Hail,C,39,CEDAR,,4/20/73 16:15,CST,4/20/73 16:15,0,0,0,0,0,0,,1.5,,,,,0,0,,,,,0,,,0,,,37.88,-94.02,,,,,PUB
197305,23,2222,197305,23,2222,,9975983,ALABAMA,1,1973,May,Thunderstorm Wind,C,85,LOWNDES,,5/23/73 22:22,CST,5/23/73 22:22,0,0,0,0,0,0,,0,,,,,0,0,,,,,0,,,0,,,32.3,-86.4,,,,,PUB
197305,23,2330,197305,23,2330,,9975984,ALABAMA,1,1973,May,Thunderstorm Wind,C,81,LEE,,5/23/73 23:30,CST,5/23/73 23:30,0,0,0,0,0,0,,0,,,,,0,0,,,,,0,,,0,,,32.63,-85.38,,,,,PUB
197305,23,2330,197305,23,2330,,9975985,ALABAMA,1,1973,May,Thunderstorm Wind,C,17,CHAMBERS,,5/23/73 23:30,CST,5/23/73 23:30,0,0,0,0,0,0,,52,,,,,0,0,,,,,0,,,0,,,32.9,-85.4,,,,,PUB
197305,23,2355,197305,23,2355,,9975986,ALABAMA,1,1973,May,Thunderstorm Wind,C,39,COVINGTON,,5/23/73 23:55,CST,5/23/73 23:55,0,0,0,0,0,0,,0,,,,,0,0,,,,,0,,,0,,,31.5,-86.2,,,,,PUB
197305,25,1225,197305,25,1225,,9975987,ALABAMA,1,1973,May,Tornado,C,109,PIKE,,5/25/73 12:25,CST,5/25/73 12:25,0,0,0,0,25K,0,,0,,,,F1,0,33,,,,,0,,,0,,,31.67,-86.07,,,,,PUB
